Team A,1,9,2
Team B,1,12,4
Team C,1,13,
Team D,1,15,3
Team E,1,10,4
Team F,1,7,
Team G,1,11,5
Team H,1,9,5
Team I ,1,4,6
Team J,1,12,
Team K,1,12,4
Team L,1,6,5
Team M,1,12,
Team N,1,9,4
Team O,1,6,2
Team P,1,10,
Team Q,1,10,3
Team R,1,10,3
Team S,1,13,
Team T,1,4,3
Team U ,1,5,2
Team V,1,11,2
Team W,1,9,
Team X,1,7,2
Team Y,1,9,5
Team Z,1,10,
Team AA,1,15,2
Team BB,1,9,5
Team CC,1,14,5
Team DD,1,2,
Team EE,1,4,7
Team FF,1,2,2
Team GG,1,3,4
Team HH,1,3,
Team II,1,7,5
Team JJ,1,9,2
Team KK,1,11,3
Team LL,1,13,3
Team MM,1,3,5
Team NN,1,10,3
Team OO,1,12,2
Team PP,1,13,3
Team QQ,1,7,5
Team RR,1,9,5
Team SS,1,6,4
Team TT,1,15,4
Team UU,1,3,2
Team VV,1,11,
Team WW,1,9,4
Team XX,1,6,3
Team YY,1,15,3
Team ZZ,1,15,3
Team ABC,1,,
Team ORD,3,5,6
Team MCI,7,8,9
Team PNG,2,,
Team JPG,3,,
Team MP3,15,,
Team QSD,10,,
Team MPG,10,12,13
Team IRC,9,2,7
Team ORT,7,2,9
Team LARP,5,4,
Team PBS,13,7,
Team IBM,11,13,
Team ORC,2,1,
