                               Team                Event       Time
----------------------------------------------------------------------------------------
                               ASAP|    Indoor Catapults|  10:05 AM
                               ASAP|        Water Rocket|  10:40 AM
                           Bad News|        Pasta Bridge|  11:30 AM
                       Bahama Slugs|             Archery|  10:00 AM
               Central Pasta Bridge|        Pasta Bridge|  10:35 AM
                  Colorado Egg Drop|            Egg Drop|  11:15 AM
                            Cougars|             Archery|  09:20 AM
                     Cure 8th Grade|             Archery|  09:40 AM
                     Cure 8th Grade|         LEED Design|  11:20 AM
                     Cure 8th Grade|          Skyscraper|  10:10 AM
                     Cure 8th Grade|       Water Finding|  01:35 PM
                           Cure Can|        Chemical Car|  11:30 AM
                           Cure Can|            Drilling|  10:20 AM
                           Cure Can|            Egg Drop|  10:40 AM
                           Cure Can|         LEED Design|  11:20 AM
                           Cure Can|          Mindstorms|  11:45 AM
                           Cure Can|       Rube Goldberg|  12:15 PM
                           Cure Can|       Water Finding|  10:45 AM
                           Cure Can|        Water Rocket|  09:10 AM
                   Cure Computators| Battery Powered Car|  12:55 PM
                   Cure Computators|            Egg Drop|  12:30 PM
                   Cure Computators|        Pasta Bridge|  12:40 PM
                   Cure Computators|             Sailing|  10:35 AM
                   Cure Computators|          Skyscraper|  10:40 AM
                   Cure Computators|       Water Finding|  11:25 AM
                   Cure Computators|        Water Rocket|  09:20 AM
                   Cure Computators|      Weight Lifting|  10:50 AM
                  Cure Kindergarten|            Egg Drop|  01:00 PM
                  Cure Kindergarten|         LEED Design|  11:20 AM
                  Cure Kindergarten|        Pasta Bridge|  10:25 AM
                  Cure Kindergarten|             Sailing|  10:05 AM
                  Cure Kindergarten|          Skyscraper|  09:15 AM
                  Cure Kindergarten|           Trebuchet|  11:30 AM
                  Cure Kindergarten|       Water Finding|  09:45 AM
            Cure of Ars Competitors|       Rube Goldberg|  09:25 AM
                  Cure' 1st Graders|             Archery|  11:05 AM
                  Cure' 1st Graders|            Egg Drop|  12:25 PM
                  Cure' 1st Graders|        Pasta Bridge|  12:35 PM
                  Cure' 1st Graders|       Water Finding|  10:00 AM
                  Cure' 1st Graders|        Water Rocket|  09:20 AM
                  Cure' 1st Graders|      Weight Lifting|  10:25 AM
                              D. M.|             Archery|  09:50 AM
                              D. M.|            Drilling|  11:35 AM
                              D. M.|            Egg Drop|  12:35 PM
                              D. M.|    Indoor Catapults|  10:20 AM
                              D. M.|        Pasta Bridge|  11:30 AM
                              D. M.|             Sailing|  09:10 AM
                              D. M.|          Skyscraper|  01:00 PM
                              D. M.|       Water Finding|  09:00 AM
                              D. M.|        Water Rocket|  12:15 PM
                     Dalton & Jacob|        Pasta Bridge|  01:50 PM
                   David & Jennifer|        Pasta Bridge|  10:10 AM
                              Dawgs|       Rube Goldberg|  09:15 AM
                     Dragon Slayers|           Trebuchet|  12:20 PM
                 Dujakovich-Johnson|        Pasta Bridge|  11:45 AM
                          Egg Heads|            Egg Drop|  12:50 PM
                        Emma Herynk|           Trebuchet|  09:30 AM
                  Essence de Egbert|        Pasta Bridge|  12:45 PM
             Flingy Blingy Machines|    Indoor Catapults|  10:10 AM
                      Flying Squids| Battery Powered Car|  10:20 AM
                     Gage & Nandita|        Pasta Bridge|  11:05 AM
                         Girl Power|             Archery|  11:55 AM
                         Girl Power| Battery Powered Car|  11:15 AM
                         Girl Power|            Egg Drop|  10:55 AM
                         Girl Power|    Indoor Catapults|  11:40 AM
                         Girl Power|       Rube Goldberg|  12:00 PM
                         Girl Power|           Trebuchet|  12:05 PM
                            Grade 6|             Archery|  10:15 AM
                            Grade 6| Battery Powered Car|  09:15 AM
                            Grade 6|        Chemical Car|  10:25 AM
                            Grade 6|            Drilling|  10:30 AM
                            Grade 6|            Egg Drop|  12:45 PM
                            Grade 6|             Sailing|  09:05 AM
                            Grade 6|          Skyscraper|  01:30 PM
                            Grade 6|       Water Finding|  10:55 AM
                            Grade 6|        Water Rocket|  12:25 PM
                            Grade 6|      Weight Lifting|  12:40 PM
                        Grayson BHS|        Chemical Car|  09:35 AM
                      HMS Trebuchet|           Trebuchet|  12:15 PM
                       Happy Flappy|        Pasta Bridge|  10:30 AM
                    Herbers-Playter|             Archery|  11:00 AM
                       Hollow Trees|        Pasta Bridge|  12:10 PM
                        Impastables|        Pasta Bridge|  01:05 PM
                      It's Pastable|        Pasta Bridge|  11:35 AM
